Date,Open,High,Low,Close,Volume
2024-03-25,19.184624,19.184624,19.184624,19.184624,100.0
2024-03-26,19.200634,19.200634,19.200634,19.200634,100.0
2024-03-27,19.140385,19.140385,19.140385,19.140385,100.0
2024-03-28,19.185566,19.185566,19.133791,19.133791,200.0
2024-04-01,19.223225,19.223225,19.178038,19.178038,400.0
2024-04-02,19.037771,19.037771,19.037771,19.037771,100.0
2024-04-03,19.114965,19.114965,19.114965,19.114965,0.0
2024-04-04,18.888088,18.888088,18.888088,18.888088,100.0
2024-04-05,19.217573,19.217573,19.217573,19.217573,100.0
2024-04-08,19.230755,19.230755,19.230755,19.230755,100.0
2024-04-09,19.310772,19.310772,19.310772,19.310772,100.0
2024-04-10,19.192156,19.192156,19.192156,19.192156,0.0
2024-04-11,19.421858,19.421858,19.421858,19.421858,100.0
2024-04-12,19.016119,19.016119,19.016119,19.016119,100.0
2024-04-15,18.53224,18.53224,18.53224,18.53224,0.0
2024-04-16,18.594376,18.594376,18.594376,18.594376,100.0
2024-04-17,18.491758,18.491758,18.491758,18.491758,100.0
2024-04-18,18.446573,18.446573,18.446573,18.446573,0.0
2024-04-19,18.074726,18.074726,18.074726,18.074726,100.0
2024-04-22,18.215935,18.215935,18.215935,18.215935,100.0
2024-04-23,18.555286,18.555286,18.555286,18.555286,100.0
2024-04-24,18.5022,18.5022,18.5022,18.5022,100.0
2024-04-25,18.244373,18.244373,18.244373,18.244373,100.0
2024-04-26,18.692732,18.692732,18.692732,18.692732,100.0
2024-04-29,18.578983,18.578983,18.578983,18.578983,100.0
2024-04-30,18.279446,18.279446,18.279446,18.279446,100.0
2024-05-01,18.457651,18.457651,18.457651,18.457651,100.0
2024-05-02,18.703161,18.703161,18.703161,18.703161,0.0
2024-05-03,18.778992,18.778992,18.778992,18.778992,100.0
2024-05-06,19.03113,19.03113,19.03113,19.03113,100.0
2024-05-07,19.128767,19.128767,19.035873,19.035873,6100.0
2024-05-08,18.977104,18.977104,18.948666,18.948666,500.0
2024-05-09,18.91075,18.91075,18.91075,18.91075,100.0
2024-05-10,18.834917,18.834917,18.834917,18.834917,100.0
2024-05-13,18.89179,18.89179,18.89179,18.89179,100.0
2024-05-14,19.119287,19.119287,18.967623,18.967623,500.0
2024-05-15,19.118341,19.185642,19.118341,19.185642,1500.0
2024-05-16,19.081373,19.138248,19.081373,19.138248,100.0
2024-05-17,19.14773,19.14773,19.14773,19.14773,100.0
2024-05-20,19.22356,19.22356,19.201757,19.201757,4900.0
2024-05-21,19.086279,19.086279,19.086279,19.086279,100.0
2024-05-22,19.017565,19.017565,19.017565,19.017565,100.0
2024-05-23,18.934536,18.991796,18.726484,18.726484,7100.0
2024-05-24,18.729347,18.729347,18.729347,18.729347,100.0
2024-05-28,18.60719,18.60719,18.60719,18.60719,100.0
2024-05-29,18.733168,18.754162,18.60051,18.633913,5700.0
2024-05-30,18.352377,18.352377,18.09279,18.09279,2200.0
2024-05-31,17.76449,18.01167,17.76449,18.01167,1000.0
2024-06-03,17.961084,18.048887,17.961084,18.048887,200.0
2024-06-04,18.13287,18.13287,18.090878,18.090878,1300.0
2024-06-05,18.210176,18.210176,18.210176,18.210176,100.0
2024-06-06,18.428726,18.428726,18.395323,18.395323,100.0
2024-06-07,18.400091,18.400091,18.318016,18.318016,1600.0
2024-06-10,18.229261,18.377188,18.229261,18.377188,100.0
2024-06-11,18.423954,18.423954,18.423954,18.423954,100.0
2024-06-12,18.49553,18.514616,18.488848,18.488848,700.0
2024-06-13,18.333286,18.333286,18.256937,18.256937,800.0
2024-06-14,18.232128,18.232128,18.232128,18.232128,100.0
2024-06-17,18.333286,18.333286,18.333286,18.333286,100.0
2024-06-18,18.28557,18.304657,18.249304,18.249304,2500.0
2024-06-20,18.381006,18.400093,18.371462,18.385777,10800.0
2024-06-21,18.514616,18.57665,18.438269,18.57665,1900.0
2024-06-24,18.610052,18.619596,18.455446,18.485987,2200.0
2024-06-25,18.657772,18.67686,18.616735,18.616735,9400.0
2024-06-26,18.772295,18.772295,18.708353,18.708353,300.0
2024-06-27,19.301125,19.301125,19.301125,19.301125,100.0
2024-06-28,19.012907,19.012907,18.932203,18.932203,600.0
2024-07-01,19.012903,19.012903,18.99657,18.99657,200.0
2024-07-02,19.099371,19.099371,19.099371,19.099371,100.0
2024-07-03,19.137798,19.137798,19.070547,19.070547,200.0
2024-07-05,19.286713,19.286713,19.286713,19.286713,100.0
2024-07-08,19.20505,19.20505,19.15413,19.15413,200.0
2024-07-09,19.099371,19.099371,19.009062,19.009062,300.0
2024-07-10,18.928358,18.928358,18.928358,18.928358,100.0
2024-07-11,18.734291,18.753506,18.734291,18.753506,500.0
2024-07-12,18.801544,18.801544,18.801544,18.801544,100.0
2024-07-15,18.888008,18.888008,18.817875,18.817875,200.0
2024-07-16,18.950457,18.950457,18.950457,18.950457,100.0
2024-07-17,18.490265,18.490265,18.490265,18.490265,100.0
2024-07-18,18.266413,18.266413,18.266413,18.266413,100.0
2024-07-19,18.31157,18.31157,18.261612,18.261612,1000.0
2024-07-22,18.455677,18.455677,18.455677,18.455677,100.0
2024-07-23,18.506939,18.506939,18.506939,18.506939,100.0
2024-07-24,17.919863,17.919863,17.919863,17.919863,100.0
2024-07-25,17.897617,17.897617,17.897617,17.897617,100.0
2024-07-26,18.032055,18.032055,18.032055,18.032055,100.0
2024-07-29,18.090086,18.090086,18.090086,18.090086,100.0
2024-07-30,17.941141,18.10556,17.941141,18.088152,4500.0
2024-07-31,18.240965,18.321241,18.231293,18.321241,2500.0
2024-08-01,18.289328,18.289328,17.97016,18.097826,900.0
2024-08-02,17.393719,17.393719,17.393719,17.393719,100.0
2024-08-05,16.938177,16.938177,16.938177,16.938177,100.0
2024-08-06,17.39952,17.39952,17.19061,17.19061,500.0
2024-08-07,17.011684,17.011684,17.011684,17.011684,100.0
2024-08-08,17.451752,17.451752,17.451752,17.451752,100.0
2024-08-09,17.50591,17.599728,17.50591,17.599728,100.0
2024-08-12,17.501076,17.501076,17.501076,17.501076,100.0
2024-08-13,17.881178,17.881178,17.881178,17.881178,100.0
2024-08-14,17.897617,17.897617,17.897617,17.897617,100.0
2024-08-15,18.269981,18.269981,18.269981,18.269981,100.0
2024-08-16,18.296095,18.296095,18.296095,18.296095,100.0
2024-08-19,18.490498,18.490498,18.490498,18.490498,100.0
2024-08-20,18.511776,18.511776,18.511776,18.511776,100.0
2024-08-21,18.662697,18.662697,18.662697,18.662697,100.0
2024-08-22,18.447512,18.447512,18.447512,18.447512,100.0
2024-08-23,18.646145,18.668541,18.646145,18.668541,400.0
2024-08-26,18.611092,18.611092,18.611092,18.611092,100.0
2024-08-27,18.59454,18.59454,18.59454,18.59454,0.0
2024-08-28,18.344303,18.40175,18.344303,18.40175,200.0
2024-08-29,18.54391,18.54391,18.54391,18.54391,100.0
2024-08-30,18.681198,18.681198,18.681198,18.681198,100.0
2024-09-03,18.232327,18.232327,18.232327,18.232327,0.0
2024-09-04,18.209934,18.209934,18.209934,18.209934,100.0
2024-09-05,18.236221,18.236221,18.236221,18.236221,100.0
2024-09-06,17.808775,17.808775,17.808775,17.808775,100.0
2024-09-09,17.94217,17.94217,17.94217,17.94217,100.0
2024-09-10,18.013247,18.013247,18.013247,18.013247,100.0
2024-09-11,18.130089,18.246931,18.130089,18.246931,200.0
2024-09-12,18.383247,18.429012,18.383247,18.429012,7600.0
2024-09-13,18.514698,18.514698,18.514698,18.514698,0.0
2024-09-16,18.635435,18.635435,18.635435,18.635435,100.0
2024-09-17,18.69483,18.69483,18.69483,18.69483,0.0
2024-09-18,18.716253,18.716253,18.716253,18.716253,100.0
2024-09-19,19.1622,19.175833,19.1622,19.175833,200.0
2024-09-20,19.171936,19.291698,19.171936,19.291698,1000.0
2024-09-23,19.322859,19.322859,19.322859,19.322859,100.0
2024-09-24,19.440676,19.440676,19.440676,19.440676,100.0
2024-09-25,19.43678,19.43678,19.43678,19.43678,100.0
2024-09-26,19.311308,19.424038,19.311308,19.424038,21900.0
2024-09-27,19.361298,19.389727,19.360317,19.389727,700.0
2024-09-30,19.402472,19.402472,19.402472,19.402472,100.0
2024-10-01,19.742622,19.742622,19.28876,19.28876,200.0
2024-10-02,19.375023,19.375023,19.349537,19.349537,300.0
2024-10-03,19.334835,19.334835,19.334835,19.334835,0.0
2024-10-04,19.674007,19.729883,19.674007,19.729883,200.0
2024-10-07,19.455404,19.455404,19.455404,19.455404,100.0
2024-10-08,19.674007,19.713219,19.674007,19.713219,200.0
2024-10-09,19.865158,19.865158,19.865158,19.865158,100.0
2024-10-10,19.943579,19.943579,19.943579,19.943579,0.0
2024-10-11,20.046509,20.144535,20.046509,20.143555,3600.0
2024-10-14,20.05043,20.05043,20.05043,20.05043,100.0
2024-10-15,19.94554,19.94554,19.94554,19.94554,100.0
2024-10-16,19.97789,19.97789,19.97789,19.97789,100.0
2024-10-17,19.934755,19.960241,19.934755,19.938677,400.0
2024-10-18,20.281775,20.281775,20.144535,20.1612,2300.0
2024-10-21,20.124931,20.150417,20.124931,20.150417,600.0
2024-10-22,20.03298,20.157324,20.03298,20.12081,1200.0
2024-10-23,20.05272,20.072456,19.818836,19.818836,800.0
2024-10-24,19.91456,19.937256,19.91456,19.937256,600.0
2024-10-25,19.993507,19.993507,19.97377,19.97377,400.0
2024-10-28,20.161272,20.17114,20.092194,20.09318,2600.0
2024-10-29,20.342852,20.342852,20.342852,20.342852,0.0
2024-10-30,20.437588,20.526403,20.35568,20.35568,4900.0
2024-10-31,20.210613,20.210613,20.171139,20.204693,1500.0
2024-11-01,20.434628,20.447454,20.434628,20.447454,300.0
2024-11-04,20.456339,20.467194,20.417852,20.417852,1400.0
2024-11-05,20.674433,20.6843,20.646801,20.646801,2400.0
2024-11-06,21.18759,21.236933,21.18759,21.236933,100.0
2024-11-07,21.65141,21.65141,21.611935,21.611935,600.0
2024-11-08,21.450094,21.46391,21.39779,21.39779,1800.0
2024-11-11,21.73529,21.789568,21.73529,21.774765,1800.0
2024-11-12,21.937593,21.937593,21.789568,21.878384,3700.0
2024-11-13,22.02641,22.02641,21.918844,21.918844,900.0
2024-11-14,21.695818,21.695818,21.695818,21.695818,100.0
2024-11-15,21.172789,21.18759,21.172789,21.186604,2000.0
2024-11-18,21.236935,21.236935,21.212263,21.212263,4700.0
2024-11-19,21.375092,21.456013,21.375092,21.456013,1700.0
2024-11-20,21.51917,21.51917,21.51917,21.51917,100.0
2024-11-21,21.905624,21.935429,21.860918,21.860918,4800.0
2024-11-22,21.956291,22.11425,21.956291,22.070538,11600.0
2024-11-25,22.322874,22.322874,22.166903,22.166903,1500.0
2024-11-26,22.303007,22.322874,22.303007,22.322874,1800.0
2024-11-27,22.157963,22.157963,22.157963,22.157963,100.0
2024-11-29,22.303005,22.303005,22.188757,22.188757,1100.0
2024-12-02,22.352678,22.352678,22.33281,22.33281,500.0
2024-12-03,22.40235,22.484806,22.40235,22.484806,200.0
2024-12-04,22.44209,23.075912,22.44209,23.075912,4400.0
2024-12-05,23.117638,23.137506,22.988487,22.988487,1900.0
2024-12-06,23.315334,23.315334,23.315334,23.315334,500.0
2024-12-09,23.053062,23.053062,23.053062,23.053062,100.0
2024-12-10,23.067965,23.067965,22.96862,22.96862,1100.0
2024-12-11,23.495148,23.495148,23.406733,23.406733,500.0
2024-12-12,23.49515,23.49515,23.366001,23.366001,800.0
2024-12-13,23.355,23.37,23.154,23.181,4300.0
2024-12-16,23.359,23.5,23.324,23.398,3900.0
2024-12-17,23.38,23.39,23.308,23.34,2800.0
2024-12-18,23.23,23.23,22.47,22.47,1900.0
2024-12-19,22.56,22.62,22.519,22.519,2600.0
2024-12-20,22.93,22.93,22.758,22.758,700.0
2024-12-23,22.81,22.83,22.788,22.788,1300.0
2024-12-24,22.921,22.921,22.921,22.921,100.0
2024-12-26,22.93,22.93,22.898,22.898,100.0
2024-12-27,22.663,22.663,22.663,22.663,100.0
2024-12-30,22.497,22.59,22.477,22.477,900.0
2024-12-31,22.42,22.42,22.255,22.255,500.0
2025-01-02,22.6,22.6,22.309,22.309,200.0
2025-01-03,22.53,22.56,22.53,22.56,200.0
