Date,Open,High,Low,Close,Volume
2024-12-23,30.78,30.83,30.712,30.81,339400.0
2024-12-24,30.85,30.869,30.794,30.825,50400.0
2024-12-26,30.875,30.96,30.855,30.871,23200.0
2024-12-27,30.86,30.86,30.753,30.81,34700.0
2024-12-30,30.716,30.8,30.716,30.768,34100.0
2024-12-31,30.774,30.81,30.73,30.74,60600.0
2025-01-02,30.79,30.79,30.7,30.725,11800.0
2025-01-03,30.79,30.845,30.77,30.8,57800.0
