Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
EDEN,686,0,0.00,0,0.00,106.51,686,0
SFEB,672,0,0.00,0,0.00,21.51,672,0
PSDM,664,0,0.00,0,0.00,50.74,664,0
NVBU,662,0,0.00,0,0.00,25.57,662,0
HEEM,661,0,0.00,0,0.00,26.99,661,0
TYLD,658,0,0.00,0,0.00,25.23,658,0
NJUL,655,0,0.00,0,0.00,63.13,655,0
NOVM,649,0,0.00,0,0.00,30.64,513,136
APOC,646,0,0.00,0,0.00,25.51,646,0
PAWZ,639,0,0.00,0,0.00,54.48,615,24
GNOV,633,0,0.00,0,0.00,34.98,633,0
RDFI,624,0,0.00,0,0.00,23.51,624,0
BJUL,622,0,0.00,0,0.00,44.73,522,100
MVFG,621,0,0.00,0,0.00,26.17,621,0
ESG,619,0,0.00,0,0.00,138.26,619,0
MSFY,618,0,0.00,0,0.00,25.50,616,2
EAOA,617,0,0.00,0,0.00,35.85,617,0
BAPR,615,0,0.00,0,0.00,44.42,615,0
JANZ,613,0,0.00,1,26.01,34.51,613,0
FYEE,612,0,0.00,0,0.00,26.67,612,0
PSCJ,611,0,0.00,0,0.00,26.77,611,0
PIEQ,610,0,0.00,0,0.00,24.27,610,0
QIG,604,0,0.00,0,0.00,43.96,604,0
DJUL,602,0,0.00,0,0.00,42.13,602,0
VEGN,602,0,0.00,0,0.00,54.05,602,0
IEDI,601,0,0.00,1,51.97,53.61,601,0
MILK,600,0,0.00,0,0.00,24.54,600,0
PSFJ,600,0,0.00,0,0.00,29.32,600,0
SAUG,590,0,0.00,0,0.00,23.57,490,100
PJUN,589,0,0.00,0,0.00,37.58,589,0
BLKC,588,0,0.00,0,0.00,22.63,588,0
RSBY,578,0,0.00,0,0.00,17.95,578,0
GFEB,577,0,0.00,0,0.00,37.41,577,0
GDMN,576,0,0.00,0,0.00,28.30,576,0
OGIG,567,0,0.00,0,0.00,46.23,512,55
IVVW,564,0,0.00,44,48.74,50.35,564,0
JAJL,563,0,0.00,0,0.00,27.27,563,0
ATMP,560,0,0.00,0,0.00,28.23,560,0
PEX,554,0,0.00,0,0.00,27.83,554,0
ROMO,554,0,0.00,0,0.00,31.73,554,0
CNAV,551,0,0.00,0,0.00,26.63,551,0
DSEP,540,0,0.00,0,0.00,40.67,540,0
MVFD,539,0,0.00,0,0.00,25.95,539,0
JCPI,532,0,0.00,0,0.00,46.92,532,0
QVOY,525,0,0.00,0,0.00,25.42,525,0
MOTG,520,0,0.00,0,0.00,36.21,520,0
BCHP,513,0,0.00,0,0.00,33.96,513,0
TRTY,511,0,0.00,0,0.00,25.29,511,0
FHEQ,509,0,0.00,0,0.00,27.60,497,12
QBER,503,0,0.00,0,0.00,24.73,503,0
SEIQ,501,0,0.00,0,0.00,35.14,501,0
NSEP,500,0,0.00,0,0.00,25.77,500,0
PBDE,500,0,0.00,0,0.00,26.40,500,0
UXOC,500,0,0.00,0,0.00,30.59,500,0
YSEP,500,0,0.00,0,0.00,21.77,500,0
ARKY,498,0,0.00,0,0.00,37.30,498,0
IWMW,495,0,0.00,0,0.00,44.00,495,0
BUFB,483,0,0.00,0,0.00,32.40,483,0
XDQQ,481,0,0.00,0,0.00,34.71,481,0
AFIF,480,0,0.00,0,0.00,9.14,480,0
MAGA,471,0,0.00,4,46.50,47.47,471,0
ISVL,469,0,0.00,0,0.00,34.33,469,0
SMI,457,0,0.00,0,0.00,45.98,457,0
YMAR,454,0,0.00,0,0.00,22.83,454,0
OVL,453,0,0.00,0,0.00,46.87,443,10
AUGM,450,0,0.00,0,0.00,31.88,450,0
HCRB,445,0,0.00,0,0.00,34.76,445,0
EFNL,442,0,0.00,0,0.00,32.49,442,0
GJAN,437,0,0.00,0,0.00,38.69,437,0
MYLD,437,0,0.00,0,0.00,25.91,437,0
YJUN,427,0,0.00,0,0.00,21.65,427,0
FDND,425,0,0.00,0,0.00,22.59,425,0
UNOV,424,0,0.00,0,0.00,34.67,424,0
FFLV,418,0,0.00,0,0.00,21.38,418,0
VWID,417,0,0.00,0,0.00,26.61,417,0
XBJL,413,0,0.00,0,0.00,34.19,413,0
DOCT,412,0,0.00,0,0.00,39.37,412,0
LQDI,406,0,0.00,0,0.00,25.58,406,0
XMAR,400,0,0.00,0,0.00,36.20,400,0
DURA,393,0,0.00,0,0.00,32.48,393,0
DECZ,392,0,0.00,0,0.00,37.23,392,0
DAUG,381,0,0.00,0,0.00,39.80,381,0
MSTB,372,0,0.00,0,0.00,34.32,372,0
XIJN,368,0,0.00,0,0.00,30.81,368,0
XISE,366,0,0.00,0,0.00,30.26,366,0
EMTL,359,0,0.00,0,0.00,42.10,359,0
MBBB,358,0,0.00,0,0.00,21.19,358,0
YDEC,355,0,0.00,0,0.00,22.60,355,0
FDHT,351,46,21.70,44,16.70,19.66,351,0
FOWF,350,0,0.00,0,0.00,24.32,350,0
TMDV,347,0,0.00,0,0.00,46.59,347,0
SMAY,346,0,0.00,0,0.00,24.82,346,0
BMAR,333,0,0.00,0,0.00,46.27,333,0
NURE,329,0,0.00,0,0.00,31.54,329,0
FIBR,324,0,0.00,0,0.00,87.06,324,0
EUDV,323,0,0.00,0,0.00,46.67,323,0
HSRT,318,0,0.00,0,0.00,39.27,318,0
UOCT,318,0,0.00,0,0.00,35.39,318,0
CMCI,313,0,0.00,0,0.00,24.57,313,0
QTJL,304,0,0.00,0,0.00,32.79,304,0
AESR,303,0,0.00,0,0.00,17.43,303,0
LIAC,300,0,0.00,0,0.00,16.26,300,0
OVM,300,0,0.00,0,0.00,21.76,300,0
PWS,300,0,0.00,0,0.00,30.42,300,0
QSPT,300,0,0.00,0,0.00,27.80,300,0
XOCT,300,0,0.00,0,0.00,34.36,300,0
EMDV,295,0,0.00,0,0.00,43.13,295,0
UJUL,295,0,0.00,0,0.00,34.61,295,0
GMAY,275,0,0.00,0,0.00,37.00,275,0
GJUL,269,0,0.00,0,0.00,36.78,269,0
GMAR,269,0,0.00,0,0.00,37.54,269,0
QMAG,269,0,0.00,0,0.00,20.98,269,0
UAPR,269,0,0.00,0,0.00,30.93,269,0
BSEP,268,0,0.00,0,0.00,43.02,268,0
GOCT,257,0,0.00,0,0.00,35.12,257,0
GAUG,253,0,0.00,0,0.00,35.37,253,0
NUDV,253,0,0.00,0,0.00,27.51,253,0
MFUL,249,0,0.00,0,0.00,21.46,249,0
RPHS,246,0,0.00,0,0.00,10.21,246,0
MARZ,244,0,0.00,0,0.00,31.57,244,0
PSMO,244,0,0.00,0,0.00,28.33,244,0
LCF,238,0,0.00,0,0.00,36.42,238,0
TILT,238,0,0.00,0,0.00,216.44,238,0
MINN,230,0,0.00,0,0.00,21.97,230,0
ARCM,220,0,0.00,0,0.00,100.11,220,0
ARKC,219,0,0.00,0,0.00,38.00,219,0
ABFL,217,0,0.00,0,0.00,66.72,217,0
BAMO,217,0,0.00,0,0.00,30.39,217,0
PFEB,217,120,36.81,0,0.00,36.86,217,0
BFEB,215,0,0.00,0,0.00,43.13,215,0
JULQ,208,0,0.00,0,0.00,25.17,208,0
OEUR,208,0,0.00,0,0.00,27.53,208,0
HIYS,205,0,0.00,0,0.00,25.40,205,0
DECM,204,0,0.00,0,0.00,30.77,204,0
HJUL,202,0,0.00,0,0.00,24.06,202,0
XBOC,201,0,0.00,0,0.00,30.26,201,0
BUFT,200,0,0.00,0,0.00,22.49,200,0
FAIL,200,0,0.00,0,0.00,16.21,200,0
LIAB,200,0,0.00,0,0.00,15.44,200,0
QMMY,200,0,0.00,0,0.00,21.68,200,0
STBF,183,0,0.00,0,0.00,25.07,183,0
WUGI,182,57,80.00,0,0.00,73.32,182,0
HSUN,175,0,0.00,0,0.00,34.85,175,0
IVVB,174,0,0.00,0,0.00,30.68,173,1
LJAN,172,0,0.00,0,0.00,24.52,172,0
GDMA,161,0,0.00,0,0.00,31.79,161,0
ZJUL,156,0,0.00,0,0.00,27.12,156,0
EAOR,155,0,0.00,0,0.00,31.42,155,0
SNAV,152,0,0.00,0,0.00,30.30,152,0
BINV,151,0,0.00,0,0.00,29.71,151,0
TRSY,151,0,0.00,0,0.00,30.03,151,0
FDVL,149,0,0.00,0,0.00,10.21,149,0
COPA,142,0,0.00,0,0.00,22.54,142,0
RVRB,139,0,0.00,0,0.00,30.61,139,0
BAMB,135,0,0.00,0,0.00,25.57,135,0
GROZ,135,0,0.00,0,0.00,25.22,135,0
GSEP,131,0,0.00,0,0.00,35.13,131,0
EVLU,128,0,0.00,0,0.00,24.44,128,0
APRD,126,0,0.00,0,0.00,25.14,126,0
TLTP,121,0,0.00,0,0.00,23.72,121,0
DFND,120,0,0.00,0,0.00,41.98,120,0
FFDI,120,0,0.00,0,0.00,24.41,120,0
KAUG,120,0,0.00,0,0.00,25.14,120,0
FDGR,119,0,0.00,0,0.00,14.29,119,0
GHMS,119,0,0.00,0,0.00,25.24,119,0
BAMA,117,0,0.00,0,0.00,30.67,117,0
RULE,117,0,0.00,0,0.00,22.03,117,0
BAMD,115,0,0.00,0,0.00,31.52,115,0
QCOC,111,0,0.00,0,0.00,20.18,111,0
LFAE,110,0,0.00,0,0.00,12.13,110,0
OVS,110,0,0.00,0,0.00,34.92,110,0
AQLT,107,0,0.00,0,0.00,24.05,107,0
LIMI,106,0,0.00,0,0.00,24.75,106,0
SEPZ,106,0,0.00,0,0.00,38.20,106,0
ABLD,102,0,0.00,0,0.00,27.91,102,0
FCTR,102,0,0.00,0,0.00,32.92,102,0
PSFD,102,0,0.00,0,0.00,33.22,102,0
DJAN,101,0,0.00,0,0.00,39.10,101,0
FDTB,101,0,0.00,0,0.00,9.35,101,0
MSTQ,101,0,0.00,0,0.00,34.22,101,0
EGUS,100,0,0.00,0,0.00,44.75,100,0
EVUS,100,0,0.00,0,0.00,28.78,100,0
HJAN,100,0,0.00,0,0.00,24.56,100,0
JULH,100,0,0.00,0,0.00,25.31,100,0
JULJ,100,0,0.00,0,0.00,25.20,100,0
KSEP,100,0,0.00,0,0.00,25.65,100,0
LIAK,100,0,0.00,0,0.00,20.01,100,0
MBND,100,0,0.00,0,0.00,27.43,100,0
MRGR,100,0,0.00,3,33.33,41.00,100,0
UMAR,100,0,0.00,0,0.00,35.71,100,0
AAPR,99,0,0.00,0,0.00,26.40,99,0
BEMB,96,0,0.00,0,0.00,51.69,96,0
EQLT,95,0,0.00,0,0.00,23.47,95,0
FEBZ,93,0,0.00,0,0.00,34.61,93,0
IQM,91,0,0.00,0,0.00,67.53,91,0
MFUT,89,0,0.00,0,0.00,16.62,89,0
JULZ,86,0,0.00,0,0.00,41.93,86,0
SNPG,83,0,0.00,0,0.00,45.57,75,8
OVF,79,0,0.00,0,0.00,23.52,79,0
PSH,77,0,0.00,0,0.00,50.08,77,0
FSEP,69,0,0.00,0,0.00,45.77,69,0
AJAN,68,0,0.00,0,0.00,26.23,68,0
XIMR,66,0,0.00,0,0.00,31.16,66,0
SNPV,64,0,0.00,0,0.00,31.17,64,0
XDOC,63,0,0.00,0,0.00,30.37,63,0
ESGG,60,0,0.00,0,0.00,168.90,60,0
UJUN,60,0,0.00,0,0.00,33.89,60,0
OCTH,59,0,0.00,0,0.00,24.26,59,0
XAUG,56,0,0.00,0,0.00,34.25,56,0
JAND,55,0,0.00,0,0.00,25.10,55,0
HEAT,51,0,0.00,0,0.00,25.55,51,0
WBAT,51,0,0.00,0,0.00,26.88,51,0
XJUL,51,0,0.00,0,0.00,35.50,51,0
AUGU,50,0,0.00,0,0.00,26.36,50,0
GSEE,42,0,0.00,0,0.00,43.89,42,0
HELX,42,0,0.00,0,0.00,28.75,42,0
GUNZ,40,0,0.00,0,0.00,27.21,40,0
CSM,37,9,78.00,0,0.00,66.49,37,0
BAMU,36,0,0.00,0,0.00,25.13,36,0
OVLH,35,0,0.00,0,0.00,34.26,35,0
PUTD,32,0,0.00,2,20.72,20.85,32,0
BAMV,31,0,0.00,0,0.00,30.38,31,0
SCLZ,31,0,0.00,0,0.00,53.16,31,0
WHTX,31,0,0.00,0,0.00,15.08,31,0
CVAR,27,0,0.00,0,0.00,25.00,27,0
BOCT,25,0,0.00,0,0.00,43.30,25,0
LOCT,25,0,0.00,0,0.00,23.87,25,0
IVVM,24,0,0.00,0,0.00,30.78,4,20
MIG,24,0,0.00,0,0.00,21.14,24,0
PIT,21,0,0.00,0,0.00,47.22,21,0
TGLR,21,0,0.00,0,0.00,29.74,21,0
ARKA,19,0,0.00,1,59.80,61.84,19,0
TJUL,18,0,0.00,0,0.00,27.81,18,0
XDAP,17,0,0.00,0,0.00,35.56,17,0
EUAD,15,0,0.00,0,0.00,24.69,15,0
CORX,14,0,0.00,0,0.00,16.62,14,0
NXTV,13,0,0.00,0,0.00,25.26,13,0
GCLN,12,2,36.00,0,0.00,35.47,12,0
AJUL,10,0,0.00,0,0.00,27.07,10,0
BHYB,10,0,0.00,0,0.00,53.47,10,0
KNOW,7,0,0.00,0,0.00,10.84,7,0
VMAX,7,0,0.00,0,0.00,47.68,7,0
TLTI,6,0,0.00,0,0.00,47.11,6,0
ACSI,5,0,0.00,0,0.00,61.08,5,0
DMAR,5,0,0.00,0,0.00,38.19,5,0
FUNL,5,0,0.00,0,0.00,41.70,5,0
QBUL,5,0,0.00,0,0.00,25.27,5,0
ROIS,5,0,0.00,0,0.00,48.37,5,0
TDEC,4,0,0.00,0,0.00,19.87,4,0
ISDB,3,0,0.00,0,0.00,24.86,3,0
NXTI,3,0,0.00,0,0.00,28.26,3,0
AUGZ,2,0,0.00,0,0.00,38.83,2,0
BBSB,2,0,0.00,0,0.00,98.37,2,0
BUYZ,2,0,0.00,0,0.00,37.21,2,0
DJUN,2,0,0.00,0,0.00,43.34,2,0
DWCR,2,0,0.00,0,0.00,28.11,2,0
FFEM,2,0,0.00,0,0.00,24.28,2,0
LBO,2,0,0.00,0,0.00,33.14,2,0
OCTQ,2,0,0.00,0,0.00,24.07,2,0
PBL,2,0,0.00,0,0.00,28.44,2,0
APRZ,1,0,0.00,0,0.00,34.37,1,0
DWAT,1,0,0.00,0,0.00,11.37,1,0
FDCE,1,0,0.00,0,0.00,12.78,1,0
IDVZ,1,0,0.00,0,0.00,25.66,1,0
JUNZ,1,0,0.00,0,0.00,29.69,1,0
LIAX,1,0,0.00,0,0.00,26.31,1,0
MAYZ,1,0,0.00,0,0.00,30.24,1,0
MOTE,1,0,0.00,0,0.00,28.26,1,0
NOVZ,1,0,0.00,0,0.00,40.25,1,0
PJBF,1,0,0.00,0,0.00,60.61,1,0
PSFM,1,0,0.00,0,0.00,29.29,1,0
PTEU,1,0,0.00,0,0.00,24.00,1,0
RSBA,1,0,0.00,0,0.00,20.03,1,0
SNPD,1,0,0.00,0,0.00,26.05,1,0
SPCZ,1,0,0.00,0,0.00,25.98,1,0
SPMV,1,0,0.00,0,0.00,46.00,1,0
ABHY,0,0,0.00,0,0.00,0.00,0,0
APRH,0,0,0.00,0,0.00,0.00,0,0
APRJ,0,0,0.00,0,0.00,0.00,0,0
APRP,0,0,0.00,0,0.00,0.00,0,0
APRQ,0,0,0.00,0,0.00,0.00,0,0
ARLU,0,0,0.00,0,0.00,0.00,0,0
AUGP,0,0,0.00,0,0.00,0.00,0,0
AZNH,0,0,0.00,0,0.00,0.00,0,0
BSMC,0,0,0.00,0,0.00,0.00,0,0
BUFP,0,0,0.00,0,0.00,0.00,0,0
BWTG,0,0,0.00,0,0.00,0.00,0,0
DECP,0,0,0.00,0,0.00,0.00,0,0
ESGX,0,0,0.00,0,0.00,0.00,0,0
FEBP,0,0,0.00,0,0.00,0.00,0,0
FFGX,0,0,0.00,0,0.00,0.00,0,0
FLDZ,0,0,0.00,0,0.00,0.00,0,0
FPAS,0,0,0.00,0,0.00,0.00,0,0
GLBL,0,0,0.00,0,0.00,0.00,0,0
GSID,0,0,0.00,0,0.00,0.00,0,0
HAPR,0,0,0.00,0,0.00,0.00,0,0
HSBH,0,0,0.00,0,0.00,0.00,0,0
HYKE,0,0,0.00,0,0.00,0.00,0,0
IMSI,0,0,0.00,0,0.00,0.00,0,0
IPAV,0,0,0.00,0,0.00,0.00,0,0
IPPP,0,0,0.00,0,0.00,0.00,0,0
JANP,0,0,0.00,0,0.00,0.00,0,0
JNEU,0,0,0.00,0,0.00,0.00,0,0
JULD,0,0,0.00,0,0.00,0.00,0,0
JULM,0,0,0.00,0,0.00,0.00,0,0
JULP,0,0,0.00,0,0.00,0.00,0,0
JULU,0,0,0.00,0,0.00,0.00,0,0
JUNP,0,0,0.00,0,0.00,0.00,0,0
LAPR,0,0,0.00,0,0.00,0.00,0,0
LFAF,0,0,0.00,0,0.00,0.00,0,0
LFAI,0,0,0.00,0,0.00,0.00,0,0
LFAJ,0,0,0.00,0,0.00,0.00,0,0
LFAK,0,0,0.00,0,0.00,0.00,0,0
LFAL,0,0,0.00,0,0.00,0.00,0,0
LFAN,0,0,0.00,0,0.00,0.00,0,0
LFAO,0,0,0.00,0,0.00,0.00,0,0
LFAQ,0,0,0.00,0,0.00,0.00,0,0
LFAR,0,0,0.00,0,0.00,0.00,0,0
LFAU,0,0,0.00,0,0.00,0.00,0,0
LFAV,0,0,0.00,0,0.00,0.00,0,0
LFAW,0,0,0.00,0,0.00,0.00,0,0
LFAX,0,0,0.00,0,0.00,0.00,0,0
LFAZ,0,0,0.00,0,0.00,0.00,0,0
LFBB,0,0,0.00,0,0.00,0.00,0,0
LFDR,0,0,0.00,1,19.60,0.00,0,0
LIAE,0,0,0.00,0,0.00,0.00,0,0
LIAF,0,0,0.00,0,0.00,0.00,0,0
LIAG,0,0,0.00,0,0.00,0.00,0,0
LIAJ,0,0,0.00,0,0.00,0.00,0,0
LIAM,0,0,0.00,0,0.00,0.00,0,0
LIAO,0,0,0.00,0,0.00,0.00,0,0
LIAP,0,0,0.00,0,0.00,0.00,0,0
LIAQ,0,0,0.00,0,0.00,0.00,0,0
LIAT,0,0,0.00,0,0.00,0.00,0,0
LIAU,0,0,0.00,0,0.00,0.00,0,0
LIAV,0,0,0.00,0,0.00,0.00,0,0
LIAW,0,0,0.00,0,0.00,0.00,0,0
LJUL,0,0,0.00,0,0.00,0.00,0,0
LYLD,0,0,0.00,0,0.00,0.00,0,0
MAYP,0,0,0.00,0,0.00,0.00,0,0
MAYU,0,0,0.00,0,0.00,0.00,0,0
MBNE,0,0,0.00,0,0.00,0.00,0,0
MDEV,0,0,0.00,200,20.00,0.00,0,0
MRCP,0,0,0.00,0,0.00,0.00,0,0
MVAL,0,0,0.00,0,0.00,0.00,0,0
NJUN,0,0,0.00,0,0.00,0.00,0,0
NNOV,0,0,0.00,0,0.00,0.00,0,0
NOVP,0,0,0.00,0,0.00,0.00,0,0
OCTD,0,0,0.00,0,0.00,0.00,0,0
OCTJ,0,0,0.00,0,0.00,0.00,0,0
OCTP,0,0,0.00,0,0.00,0.00,0,0
OCTU,0,0,0.00,0,0.00,0.00,0,0
OCTZ,0,0,0.00,0,0.00,0.00,0,0
PBAP,0,0,0.00,0,0.00,0.00,0,0
PBAU,0,0,0.00,0,0.00,0.00,0,0
PBFB,0,0,0.00,0,0.00,0.00,0,0
PBJA,0,0,0.00,0,0.00,0.00,0,0
PBJL,0,0,0.00,0,0.00,0.00,0,0
PBJN,0,0,0.00,0,0.00,0.00,0,0
PBMR,0,0,0.00,0,0.00,0.00,0,0
PBMY,0,0,0.00,0,0.00,0.00,0,0
PBNV,0,0,0.00,0,0.00,0.00,0,0
PBOC,0,0,0.00,0,0.00,0.00,0,0
PBSE,0,0,0.00,0,0.00,0.00,0,0
PJFM,0,0,0.00,0,0.00,0.00,0,0
PSCW,0,0,0.00,0,0.00,0.00,0,0
PSCX,0,0,0.00,0,0.00,0.00,0,0
PSMD,0,0,0.00,0,0.00,0.00,0,0
PSMJ,0,0,0.00,0,0.00,0.00,0,0
PSMR,0,0,0.00,0,0.00,0.00,0,0
QCAP,0,0,0.00,0,0.00,0.00,0,0
QCJL,0,0,0.00,0,0.00,0.00,0,0
QTAP,0,0,0.00,0,0.00,0.00,0,0
QTJA,0,0,0.00,0,0.00,0.00,0,0
QTOC,0,0,0.00,0,0.00,0.00,0,0
RTRE,0,0,0.00,0,0.00,0.00,0,0
SELV,0,0,0.00,0,0.00,0.00,0,0
SEPP,0,0,0.00,0,0.00,0.00,0,0
SEPU,0,0,0.00,0,0.00,0.00,0,0
SPIN,0,0,0.00,0,0.00,0.00,0,0
SQMX,0,0,0.00,0,0.00,0.00,0,0
TFJL,0,0,0.00,0,0.00,0.00,0,0
TSEP,0,0,0.00,0,0.00,0.00,0,0
UFEB,0,0,0.00,0,0.00,0.00,0,0
UMAY,0,0,0.00,0,0.00,0.00,0,0
WDNA,0,0,0.00,0,0.00,0.00,0,0
WLDR,0,0,0.00,0,0.00,0.00,0,0
XAPR,0,0,0.00,0,0.00,0.00,0,0
XDJA,0,0,0.00,0,0.00,0.00,0,0
XDJL,0,0,0.00,0,0.00,0.00,0,0
XNOV,0,0,0.00,0,0.00,0.00,0,0
XTAP,0,0,0.00,0,0.00,0.00,0,0
XTJA,0,0,0.00,0,0.00,0.00,0,0
XTJL,0,0,0.00,0,0.00,0.00,0,0
ZAUG,0,0,0.00,0,0.00,0.00,0,0
