return,volatility,DSCF,LCF,XSHD,BBRE,DDLS,BUFZ,JCPI,BLDG,FJUL,BSEP,FFLC,DRSK,JPIB,FCPI,SMI,DUBS,VIXM,XEMD,EAOR,TDV,SMMD,PSCQ,USMV,BBIN,MSTB,TUSI,BBEM,GMOM,BITX,GOVZ,ABOT,ISPY,VSGX,BINV,QDEC,PNOV,BGLD,UVIX,RMIF,LEAD,FYLD,GCOW,DDWM,PSMO,ZALT,PJAN,XJR,RPHS,OMFS,BALT,CBOE,VIXY,MBCC,FJUN,DNOV,SPMV,GMAR,DFNL,VFQY,XSHQ,ARKC,NOCT,EFV,PBTP,HEFA,GFEB,HEEM,ARKG,QMAR,LKOR,BRLN,UAPR,ICOW,USMF,QVOY,XOCT,TOLL,DIHP,HCRB,PJUN,CNYA,XBJA,FJAN,MBBB,MRGR,IBHE,ESGV,NEAR,FNOV,WEED,IDV,ARKQ,MARZ,RDVI,OBND,ICVT,FPRO,FLOT,HEGD,ARKD,HYXU,PBUS,RODE,GSST,XTOC,GDEC,ESG,DJUL,RSBT,XDSQ,HYBL,ICLO,BBHY,FAIL,BMAY,VWID,HSUN,IBHG,ACSI,SATO,EAOA,SMMV,LQDW,PJUL,BAUG,IBHF,FFLG,BOXX,NUDV,OGIG,BBJP,TRTY,HYMU,MFUL,EFG,MSMR,SECT,XSEP,BNOV,ISVL,GHTA,PRNT,EWUS,VFMV,PBP,GDMN,DOCT,NJAN,EPRF,MINN,EMHY,CLSE,BJAN,HOCT,IGEB,SMIN,FDEM,FCLD,VXX,POCT,TMDV,ADFI,YMAR,XIDE,SDVD,SVIX,DINT,IVRA,USHY,FIBR,GHYG,XJUN,CMCI,SEIQ,GSUS,MOTG,IZRL,ROMO,NFLP,KNG,ICSH,HYIN,JANZ,PSEP,IBMN,AFIF,FAUG,ATMP,SHYD,TSLZ,FMAY,VXZ,IGHG,IBMO,PSFJ,RYSE,CAOS,BBLB,DSEP,PWS,NVDQ,IYZ,COWZ,ABFL,XDAT,FLIA,GVI,SEIV,BBUS,DAUG,XMPT,RTAI,UDEC,HYGW,OUSA,SNAV,JANH,YDEC,SHAG,ACWV,PMAY,TAIL,DIVB,TMFX,JEMA,BJUL,EMGF,PAUG,PSFO,QIG,BKGI,VFMF,GAA,ICF,DMAY,FRNW,NJUL,IYJ,ITM,FLDR,FLQS,KWT,GAPR,PAWZ,FDRV,KAPR,LJAN,TDVI,FOCT,BJUN,DECZ,TMFM,OVT,HAUS,OVB,MLN,XBAP,IGRO,QPFF,MOAT,JANJ,RSEE,ECH,ARCM,GJUN,ITA,QTJL,RDFI,SYLD,IMFL,MAMB,NAPR,OEUR,VLUE,PAVE,BAPR,QUVU,JPLD,MEAR,PFEB,EFNL,FMAR,FDHT,CEMB,SMDV,TSLP,XISE,TYA,AMZP,IBMR,NUMV,TOKE,HYDB,JANQ,WLDR,UVXY,BBAX,DFEB,OILK,ITB,SEIM,VFVA,WUGI,GTIP,DFIC,OUSM,AAAU,QHY,PDEC,WTAI,ESML,NULG,IBMP,PTMC,OVL,XVV,OVM,FMAG,TMFC,LVHI,XBOC,KJUL,EFAV,IBMQ,DURA,UAUG,SLVP,JMUB,NVDX,GJUL,MSFY,DDEC,IAGG,MOTI,PICK,HIYS,IDUB,RSST,USEP,MTUM,GDMA,GARP,VNM,YSEP,BCHP,DUSA,HSRT,FFSM,TMFG,FDEC,VEGN,EFAD,QUAL,NUMG,PTLC,NULC,INTL,GLOV,PSFF,VFMO,BBCA,HYHG,RSSB,BUYW,VCEB,IYT,FLQM,GJAN,CALF,EZU,EMDV,KJAN,NULV,IPDP,GNOV,FDEV,TMFS,TSLT,TMFE,IYLD,PMAR,HFGO,FFEB,IEFA,PSDM,IEDI,DFIS,FPAG,SNOV,QJUN,FLQL,TLTW,UOCT,EYLD,ENOR,FLHY,FBCV,GOOP,MDLV,NOBL,ABLG,QCON,BUFD,FPFD,JMST,IFRA,IVVB,EEMV,GMAY,BDEC,CSM,DWAT,DWLD,GEMD,SHDG,SAUG,EAOM,IETC,ADME,BALI,SMAY,HYD,IBHJ,FFOG,NUDM,GAUG,XVOL,BUFR,UJUL,FRDM,XMAR,NANC,MAGA,BUFG,DFND,SVAL,PAPR,IBHH,SVXY,BFEB,DISV,CEFS,YJUN,IGLD,GPOW,XBJL,OMFL,EALT,JUCY,SMB,IBHI,REGL,JCPB,VAMO,BLKC,BUFQ,IGV,BUFF,GSEW,DAPR,KRUZ,TBJL,QSIG,GVAL,SPYI,IQDG,FBCG,ARKY,REM,FLBL,TILT,GOVT,IGE,BUFB,DOGG,PEX,UJAN,AESR,VUSB,XUSP,EMTL,UNOV,NUSC,EAOK,KOCT,FAPR,MPRO,SMOT,JBBB,OSCV,BMAR,XJH,BBEU,BUFT,GOCT,ARKX,ZECP,GOLY,ARKZ,GDE,QLC,NUEM,AAPY,STOT,TMAT,JULQ,ACIO,NURE,INDA,LQDI,ZVOL,EDEN,PSCJ,BBIB,QSPT,XDQQ,EUDV,IEO,BUSA,XDEC
5.857089123394388e-05,0.001544867302806227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01693,0.0,0.0,0.0,0.0,0.0,0.01159,0.0,0.0,0.0,0.0,0.01637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01165,0.0,0.0,0.0,0.0,0.0,0.0,0.01076,0.0,0.0,0.0,0.0,0.01614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01931,0.0,0.01334,0.0,0.0,0.0,-0.01063,0.0,0.02271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.01175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02858,0.0,0.0,0.0,0.0,0.0,0.01975,0.01923,0.0,0.0,0.0,0.01378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01159,0.0,0.0,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01955,0.0,0.0,0.01016,0.01114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02092,0.01464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02157,-0.01066,0.0,0.01614,0.0,0.0,0.0,0.02207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01427,0.0,0.0,0.02622,0.0,0.0,0.0,0.0,0.0,0.0,0.01831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02257,-0.01026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01185,0.0,0.0,0.0,0.0,0.0,0.0
5.857089123394388e-05,0.001544867302806227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01693,0.0,0.0,0.0,0.0,0.0,0.01159,0.0,0.0,0.0,0.0,0.01637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01165,0.0,0.0,0.0,0.0,0.0,0.0,0.01076,0.0,0.0,0.0,0.0,0.01614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01931,0.0,0.01334,0.0,0.0,0.0,-0.01063,0.0,0.02271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.01175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02858,0.0,0.0,0.0,0.0,0.0,0.01975,0.01923,0.0,0.0,0.0,0.01378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01159,0.0,0.0,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01955,0.0,0.0,0.01016,0.01114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02092,0.01464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02157,-0.01066,0.0,0.01614,0.0,0.0,0.0,0.02207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01427,0.0,0.0,0.02622,0.0,0.0,0.0,0.0,0.0,0.0,0.01831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02257,-0.01026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01185,0.0,0.0,0.0,0.0,0.0,0.0
5.857089123394388e-05,0.001544867302806227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01693,0.0,0.0,0.0,0.0,0.0,0.01159,0.0,0.0,0.0,0.0,0.01637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01165,0.0,0.0,0.0,0.0,0.0,0.0,0.01076,0.0,0.0,0.0,0.0,0.01614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01931,0.0,0.01334,0.0,0.0,0.0,-0.01063,0.0,0.02271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.01175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02858,0.0,0.0,0.0,0.0,0.0,0.01975,0.01923,0.0,0.0,0.0,0.01378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01159,0.0,0.0,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01955,0.0,0.0,0.01016,0.01114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02092,0.01464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02157,-0.01066,0.0,0.01614,0.0,0.0,0.0,0.02207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01427,0.0,0.0,0.02622,0.0,0.0,0.0,0.0,0.0,0.0,0.01831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02257,-0.01026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01185,0.0,0.0,0.0,0.0,0.0,0.0
5.857089123394388e-05,0.001544867302806227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01693,0.0,0.0,0.0,0.0,0.0,0.01159,0.0,0.0,0.0,0.0,0.01637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01165,0.0,0.0,0.0,0.0,0.0,0.0,0.01076,0.0,0.0,0.0,0.0,0.01614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01931,0.0,0.01334,0.0,0.0,0.0,-0.01063,0.0,0.02271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.01175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02858,0.0,0.0,0.0,0.0,0.0,0.01975,0.01923,0.0,0.0,0.0,0.01378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01159,0.0,0.0,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01955,0.0,0.0,0.01016,0.01114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02092,0.01464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02157,-0.01066,0.0,0.01614,0.0,0.0,0.0,0.02207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01427,0.0,0.0,0.02622,0.0,0.0,0.0,0.0,0.0,0.0,0.01831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02257,-0.01026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01185,0.0,0.0,0.0,0.0,0.0,0.0
5.857089123394388e-05,0.001544867302806227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01693,0.0,0.0,0.0,0.0,0.0,0.01159,0.0,0.0,0.0,0.0,0.01637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01165,0.0,0.0,0.0,0.0,0.0,0.0,0.01076,0.0,0.0,0.0,0.0,0.01614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01931,0.0,0.01334,0.0,0.0,0.0,-0.01063,0.0,0.02271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.01175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02858,0.0,0.0,0.0,0.0,0.0,0.01975,0.01923,0.0,0.0,0.0,0.01378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01159,0.0,0.0,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01955,0.0,0.0,0.01016,0.01114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02092,0.01464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02157,-0.01066,0.0,0.01614,0.0,0.0,0.0,0.02207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01427,0.0,0.0,0.02622,0.0,0.0,0.0,0.0,0.0,0.0,0.01831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02257,-0.01026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01185,0.0,0.0,0.0,0.0,0.0,0.0
