ticker,composite,technical,fundamental,sentiment,analysis_time
ARCM,12.025988168295985,5.025988168295984,10.0,-3.0,2025-02-08T10:52:08.455509
LVHI,11.122254804575403,1.1222548045754033,8.0,2.0,2025-02-08T10:50:51.533551
BJUL,9.408685563624763,0.4086855636247634,7.0,2.0,2025-02-08T10:50:31.498471
DOCT,8.485390022881305,0.4853900228813046,8.0,0.0,2025-02-08T10:50:43.886362
QSIG,8.15469792580963,1.1546979258096308,7.0,0.0,2025-02-08T10:51:04.680835
NDOW,8.111593526189266,1.111593526189265,7.0,0.0,2025-02-08T10:50:36.245652
FLQL,7.902960816907099,0.902960816907099,7.0,0.0,2025-02-08T10:50:33.044160
XDQQ,7.416532572665708,0.41653257266570803,7.0,0.0,2025-02-08T10:50:52.292138
HYHG,7.0370966936187305,0.5370966936187301,6.5,0.0,2025-02-08T10:50:53.169045
QBER,7.036527011880574,0.03652701188057392,9.0,-2.0,2025-02-08T10:50:42.738024
MSTB,7.000207146348842,0.00020714634884200223,7.0,0.0,2025-02-08T10:51:48.712568
BALI,6.730549154756647,-0.26945084524335244,7.0,0.0,2025-02-08T10:52:08.089766
GAPR,6.48266141118451,0.4826614111845096,6.0,0.0,2025-02-08T10:50:27.815613
JULZ,6.245074418463597,0.24507441846359726,6.0,0.0,2025-02-08T10:51:57.575704
ITM,6.238706293895941,2.23870629389594,7.0,-3.0,2025-02-08T10:52:12.996258
MAYU,6.214453028110502,0.214453028110502,6.0,0.0,2025-02-08T10:51:58.783417
NXTV,5.949991073886421,-0.05000892611357912,6.0,0.0,2025-02-08T10:51:35.925325
OUSM,5.256114157564913,-0.7438858424350868,6.0,0.0,2025-02-08T10:50:51.666497
LFAL,4.573804150543102,1.5738041505431029,0.0,3.0,2025-02-08T10:51:48.753862
QDTE,4.1116885376461,0.11168853764609991,7.0,-3.0,2025-02-08T10:51:46.748563
FDTB,3.596667279248587,0.09666727924858663,7.0,-3.5,2025-02-08T10:50:28.432220
GUNZ,2.145864777266806,2.145864777266806,0.0,0.0,2025-02-08T10:51:34.856416
MBCC,1.9889481998267668,1.9889481998267668,0.0,0.0,2025-02-08T10:52:10.412202
SQMX,1.6965696500768908,1.6965696500768908,0.0,0.0,2025-02-08T10:52:03.874171
DFIC,1.6845434977379996,1.6845434977379996,0.0,0.0,2025-02-08T10:51:37.113488
NANC,0.8878149911217186,0.8878149911217186,0.0,0.0,2025-02-08T10:50:34.126361
NURE,0.6428217949569515,0.6428217949569515,0.0,0.0,2025-02-08T10:50:35.112111
PJAN,0.6176902949661106,0.6176902949661106,0.0,0.0,2025-02-08T10:50:39.788963
JULU,0.17582644397155392,0.17582644397155392,0.0,0.0,2025-02-08T10:50:29.164400
IBHF,-5.299658321759079,0.7003416782409211,-8.0,2.0,2025-02-08T10:51:56.419481
